p,avg_nb_composantes,avg_nb_composantes_isolees
0,25,25
0.0005,25,25
0.001,25,25
0.0015,24,24
0.002,24,24
0.0025,24,24
0.003,24,24
0.0035,24,24
0.004,24,24
0.0045,24,24
0.005,24,24
0.0055,24,24
0.006,24,24
0.0065,24,24
0.007,24,24
0.0075,24,24
0.008,24,24
0.0085,24,24
0.009,24,24
0.0095,24,24
0.01,24,24
0.0105,24,24
0.011,24,24
0.0115,24,24
0.012,24,24
0.0125,24,24
0.013,24,24
0.0135,24,24
0.014,24,24
0.0145,24,24
0.015,24,24
0.0155,24,24
0.016,24,24
0.0165,24,24
0.017,24,24
0.0175,24,24
0.018,24,24
0.0185,24,24
0.019,24,24
0.0195,24,24
0.02,24,24
0.0205,24,24
0.021,24,24
0.0215,24,24
0.022,24,24
0.0225,24,24
0.023,24,24
0.0235,24,24
0.024,24,24
0.0245,24,24
0.025,24,24
0.0255,24,24
0.026,24,24
0.0265,24,24
0.027,24,24
0.0275,24,23
0.028,24,24
0.0285,24,23
0.029,24,23
0.0295,24,23
0.03,24,23
0.0305,24,23
0.031,24,23
0.0315,24,23
0.032,23,23
0.0325,23,23
0.033,23,23
0.0335,23,23
0.034,23,23
0.0345,23,23
0.035,23,22
0.0355,23,22
0.036,23,23
0.0365,23,22
0.037,23,22
0.0375,23,22
0.038,23,22
0.0385,23,22
0.039,23,22
0.0395,23,22
0.04,22,22
0.0405,22,21
0.041,22,21
0.0415,22,21
0.042,22,21
0.0425,22,21
0.043,22,21
0.0435,22,21
0.044,22,21
0.0445,22,21
0.045,21,21
0.0455,21,20
0.046,21,20
0.0465,21,20
0.047,21,20
0.0475,21,20
0.048,21,20
0.0485,21,20
0.049,21,19
0.0495,20,19
0.05,20,19
0.0505,20,19
0.051,20,19
0.0515,20,19
0.052,20,18
0.0525,20,18
0.053,19,18
0.0535,19,18
0.054,19,18
0.0545,19,18
0.055,19,17
0.0555,19,17
0.056,19,17
0.0565,18,17
0.057,18,17
0.0575,18,17
0.058,18,16
0.0585,18,17
0.059,17,16
0.0595,17,16
0.06,17,16
0.0605,17,15
0.061,17,15
0.0615,17,15
0.062,16,15
0.0625,16,15
0.063,16,15
0.0635,16,14
0.064,16,14
0.0645,15,14
0.065,15,14
0.0655,15,14
0.066,15,13
0.0665,15,13
0.067,15,13
0.0675,15,13
0.068,14,13
0.0685,14,13
0.069,14,13
0.0695,14,12
0.07,14,12
0.0705,13,12
0.071,13,12
0.0715,13,12
0.072,13,11
0.0725,13,12
0.073,12,11
0.0735,12,11
0.074,12,11
0.0745,12,11
0.075,12,11
0.0755,12,10
0.076,11,10
0.0765,11,10
0.077,11,10
0.0775,11,10
0.078,11,10
0.0785,11,10
